map_id,run_index,sensor_seed,planner_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,final_total_variance,variance_reduction
23,2,146,23044,190.2053985595703,647.4739379882812,0.2937653354056899,0.0019454657973886748,0.054255954921245575,0.07181790875891844,10.699281636625528,0.0499359555542469,0.07316863209009171,10.900716660544276,12.379526649154098,14.153274350845908
23,3,146,23045,193.07748413085938,647.4739379882812,0.29820116734081414,0.001974842167819961,0.051628176122903824,0.06797881069282691,10.124730816110969,0.0458996556699276,0.06783713961640994,10.10301093943417,10.231964614062484,16.300836385937522
23,4,146,23046,225.18113708496094,647.4739379882812,0.347784094267338,0.0023032059223002514,0.05863135680556297,0.07076727576553822,10.539498986676335,0.0569906048476696,0.07210600316524506,10.737794997170568,10.420671890310183,16.112129109689825
24,0,147,24042,184.90850830078125,518.7958984375,0.3564186009520995,0.002360388085775493,0.09480752795934677,0.11466039801637332,17.081275198608637,0.10037504136562347,0.12209262957175572,18.18849490582943,11.971837077963134,14.560963922036873
24,1,147,24043,196.0642852783203,518.7958984375,0.37792181061728347,0.0025027934477965794,0.09936293214559555,0.11753181527058283,17.50971008464694,0.10553625226020813,0.12526647314429284,18.661990836262703,11.17827900879643,15.354521991203576
24,2,147,24044,177.8236846923828,518.7958984375,0.34276231795191314,0.0022699491255093584,0.0805487260222435,0.10991273085276286,16.37625452503562,0.08494298160076141,0.11694118072589238,17.42349360883236,12.187011299725311,14.345789700274695
24,3,147,24045,190.34304809570312,518.7958984375,0.36689389540082107,0.0024297608966941794,0.09844613820314407,0.12387313713630041,18.4613667614758,0.10440967231988907,0.13211968819300335,19.69053638353944,14.406140265814916,12.12666073418509
24,4,147,24046,188.82278442382812,518.7958984375,0.36396352591167574,0.002410354476236263,0.09151814877986908,0.1064962537586689,15.858298249542713,0.09691479802131653,0.11325454647342365,16.86451256275177,11.09008132246111,15.442719677538896
25,0,148,25042,75.3472900390625,253.6352996826172,0.2970694147594882,0.0019673471176125047,0.10312531888484955,0.15521657903989156,23.122042931616306,0.10446656495332718,0.1574732960263888,23.45822959765792,10.9237257268828,15.609075273117206
25,1,148,25043,51.5544548034668,253.6352996826172,0.20326214398381734,0.001346106913800115,0.11285942047834396,0.15777639120817186,23.5011477060616,0.11435217410326004,0.16005733559528987,23.840892728418112,12.29738981288651,14.235411187113497
25,2,148,25044,65.9337158203125,253.6352996826172,0.25995480874632865,0.0017215550248101234,0.09886026382446289,0.15584957480430603,23.21912482380867,0.10019392520189285,0.15814120769500734,23.560552667826414,11.373889400536594,15.158911599463412
25,3,148,25045,59.51432800292969,253.6352996826172,0.23464528824419184,0.001553942306252926,0.09226929396390915,0.15626123329003652,23.28416908159852,0.09343782067298889,0.15854528531432152,23.624542362987995,10.707404227286212,15.825396772713795
25,4,148,25046,94.36457061767578,253.6352996826172,0.3720482548594675,0.0024638957275461425,0.13567043840885162,0.16826465467611948,25.062981717288494,0.13765603303909302,0.17076666295528412,25.435639902949333,12.392636522806463,14.140164477193544
