map_id,run_index,sensor_seed,planner_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
105,0,228,105042,81834.0,198797.0,0.41164605099674545,0.0027261327880579167,56.049625396728516,75.78068766276041,11285.379747390747,58.7786750793457,79.4711102549235,11834.963136672974,83.98129272460938,116.3899382019043,17332.87671661377,18798.718798516362,7211.281201483638
105,1,228,105043,91145.0,198797.0,0.45848277388491776,0.0030363097608272697,52.614463806152344,74.20104019165039,11050.150207519531,55.176658630371094,77.81411753336589,11588.215236663818,76.0916519165039,112.78946060180664,16796.749897003174,18175.77038551755,7834.22961448245
105,2,228,105044,91205.0,198797.0,0.4587845893046676,0.003038308538441507,47.00752639770508,77.02201578776042,11476.100015640259,49.295867919921875,80.7728470102946,12034.96505355835,70.2702865600586,117.15035898844401,17453.795337677002,17860.726707992137,8149.273292007863
105,3,228,105045,92094.0,198797.0,0.4632564877739604,0.003067923760092453,42.65938949584961,68.95803009033203,10268.676229476929,44.732994079589844,72.31622083028158,10768.752563476562,64.45809936523438,104.42332906087239,15547.646942138672,17558.269919378818,8451.730080621182
105,4,228,105046,90646.0,198797.0,0.4559726756439986,0.003019686593668865,40.30554962158203,69.21960978190104,10309.090103149414,42.26605987548828,72.59039260864257,10811.111797332764,63.85620880126953,105.76701131184896,15749.500225067139,18169.191190327685,7840.808809672315
106,0,229,106042,55680.0,100258.0,0.5553671527459155,0.0036779281638802354,18.129804611206055,25.39649617513021,3766.6296586990356,20.50080680847168,28.731153259277345,4261.195405006409,35.04218292236328,49.64958755493164,7361.301197052002,17520.907848775605,8489.092151224395
106,1,229,106043,52309.0,100258.0,0.5217439007361009,0.00345525762076888,15.503473281860352,25.268891359965007,3748.802102088928,17.52560043334961,28.588614044189452,4241.302125930786,29.30734634399414,46.77505212148031,6932.988300323486,17990.29888776358,8019.70111223642
106,2,229,106044,53213.0,100258.0,0.5307606375551078,0.0035149711096364757,19.11843490600586,37.79400703430176,5625.761972427368,21.625524520874023,42.763913764953614,6365.547122001648,42.08808898925781,78.63437848409016,11705.496883392334,18066.66762003837,7943.33237996163
106,3,229,106045,59901.0,100258.0,0.597468531189531,0.003956745239665768,15.120500564575195,24.559793758392335,3642.62894821167,17.09618377685547,27.78726483662923,4121.314453125,30.958730697631836,47.36755739847819,7021.03839969635,17632.965077283938,8377.034922716062
106,4,229,106046,38299.0,100258.0,0.38200442857427835,0.0025298306528097904,37.12315368652344,52.162888565063476,7772.091842651367,42.00385284423828,59.026877339680986,8794.802494049072,80.4119873046875,108.2878911336263,16134.361831665039,17753.582150780443,8256.417849219557
107,0,230,107042,95530.0,149873.0,0.6374063373656362,0.004221234022288981,19.82306671142578,38.659354311625165,5742.553991317749,23.60093879699707,46.03578076680501,6838.264689445496,37.991207122802734,72.2563314819336,10728.542490005493,18495.788497904246,7514.2115020957535
107,1,230,107043,96054.0,149873.0,0.640902630894157,0.0042443882840672645,18.920610427856445,34.34515544891357,5095.875390052795,22.52423667907715,40.897970339457196,6068.131476402283,36.31159210205078,62.80102645874023,9311.086544036865,17188.697941886006,8821.302058113994
107,2,230,107044,66693.0,149873.0,0.4449967639267913,0.002946998436601267,49.414546966552734,56.78879559834798,8447.174444198608,58.84473419189453,67.62695266723632,10059.318576812744,102.57087707519531,114.37886810302734,17014.63314819336,17173.93893406923,8836.061065930771
107,3,230,107045,96708.0,149873.0,0.6452663254889139,0.004273286923767642,24.49321174621582,45.169416961669924,6716.728316307068,29.163816452026367,53.789404220581055,7998.526768684387,48.82558059692383,85.89336357116699,12768.680116653442,17730.48298324057,8279.51701675943
107,4,230,107046,100448.0,149873.0,0.6702207869329365,0.004438548257834017,15.557817459106445,44.5808197148641,6632.9064264297485,18.518512725830078,53.08920880635579,7898.820108413696,28.220531463623047,82.92873659769694,12334.288595199585,18191.338047864247,7818.661952135753
