timestep,wall_time_seconds,global_rmse,occupied_rmse,global_variance
3.300000000000000000e+01,3.467203378677368164e+00,8.722564578056335449e-02,6.171122938394546509e-02,2.079513286074437062e+01
3.400000000000000000e+01,3.654754877090454102e+00,8.771929889917373657e-02,6.292746216058731079e-02,2.064977443727629236e+01
3.500000000000000000e+01,3.842203378677368164e+00,8.736871927976608276e-02,6.218950450420379639e-02,2.054900905445032322e+01
3.600000000000000000e+01,4.014164447784423828e+00,8.707226812839508057e-02,6.186289340257644653e-02,2.040003298609656213e+01
3.700000000000000000e+01,4.232828617095947266e+00,8.564233034849166870e-02,6.113530322909355164e-02,2.014000408551985544e+01
3.800000000000000000e+01,4.431721687316894531e+00,8.503423631191253662e-02,5.941708758473396301e-02,1.985349838887799478e+01
3.900000000000000000e+01,4.650495767593383789e+00,8.393340557813644409e-02,5.719295516610145569e-02,1.960469504066134760e+01
4.000000000000000000e+01,4.838029623031616211e+00,8.337397128343582153e-02,5.675899982452392578e-02,1.944128446746373839e+01
4.100000000000000000e+01,5.025494337081909180e+00,8.140189945697784424e-02,5.271347984671592712e-02,1.925271016728579809e+01
4.200000000000000000e+01,5.197491407394409180e+00,8.015907555818557739e-02,4.984460771083831787e-02,1.911764739131317015e+01
4.300000000000000000e+01,5.384899377822875977e+00,8.012993633747100830e-02,4.980422556400299072e-02,1.901341040113757686e+01
4.400000000000000000e+01,5.624740362167358398e+00,8.001485466957092285e-02,4.955431818962097168e-02,1.877493290951926497e+01
4.500000000000000000e+01,5.759451866149902344e+00,8.064923435449600220e-02,5.060579627752304077e-02,1.862216386498863940e+01
4.600000000000000000e+01,5.892151117324829102e+00,8.153991401195526123e-02,5.243646726012229919e-02,1.839552518613687937e+01
4.700000000000000000e+01,6.023404121398925781e+00,8.051194250583648682e-02,5.081412196159362793e-02,1.823391728013562130e+01
4.800000000000000000e+01,6.163160085678100586e+00,7.926589250564575195e-02,4.849704727530479431e-02,1.808973307602989422e+01
4.900000000000000000e+01,6.298707008361816406e+00,8.061282336711883545e-02,4.961153864860534668e-02,1.785741893854116569e+01
5.000000000000000000e+01,6.412884235382080078e+00,7.983207702636718750e-02,4.973345622420310974e-02,1.767745227092764893e+01
5.100000000000000000e+01,6.563924074172973633e+00,7.757969945669174194e-02,4.979933053255081177e-02,1.742971345251705273e+01
5.200000000000000000e+01,6.687696456909179688e+00,7.708987593650817871e-02,4.916898533701896667e-02,1.724587250481464906e+01
5.300000000000000000e+01,6.810422182083129883e+00,7.671467214822769165e-02,4.873589798808097839e-02,1.713046230806127923e+01
5.400000000000000000e+01,6.947344779968261719e+00,7.698801904916763306e-02,4.892613738775253296e-02,1.701642108225872363e+01
5.500000000000000000e+01,7.115990877151489258e+00,7.686679810285568237e-02,4.837166145443916321e-02,1.672106763429579956e+01
5.600000000000000000e+01,7.281892538070678711e+00,7.611555606126785278e-02,4.783526062965393066e-02,1.650908971964911132e+01
5.700000000000000000e+01,7.427191972732543945e+00,7.271948456764221191e-02,4.775387793779373169e-02,1.621055291737302184e+01
5.800000000000000000e+01,7.570635080337524414e+00,7.241494953632354736e-02,4.732901975512504578e-02,1.613153433439534723e+01
5.900000000000000000e+01,7.927130699157714844e+00,7.242548465728759766e-02,4.735047742724418640e-02,1.608987481264689023e+01
6.000000000000000000e+01,8.062120676040649414e+00,7.242410629987716675e-02,4.735276103019714355e-02,1.605671613731375658e+01
6.100000000000000000e+01,8.245480298995971680e+00,7.236917316913604736e-02,4.724680632352828979e-02,1.602648183854433483e+01
6.200000000000000000e+01,8.361600160598754883e+00,7.235036045312881470e-02,4.722469300031661987e-02,1.600170659440987109e+01
6.300000000000000000e+01,8.512743473052978516e+00,7.224470376968383789e-02,4.699515551328659058e-02,1.594196122827088580e+01
6.400000000000000000e+01,8.657283306121826172e+00,7.215738296508789062e-02,4.679141566157341003e-02,1.589808065480293386e+01
6.500000000000000000e+01,8.867426633834838867e+00,7.216750085353851318e-02,4.681624099612236023e-02,1.585424492274932007e+01
6.600000000000000000e+01,9.075984001159667969e+00,7.209346443414688110e-02,4.664648324251174927e-02,1.581237332759262770e+01
6.700000000000000000e+01,9.294620990753173828e+00,7.198762893676757812e-02,4.641333594918251038e-02,1.577297106560508411e+01
