timestep,wall_time_seconds,global_rmse,occupied_rmse,global_variance
7.600000000000000000e+01,9.794566869735717773e+00,6.920792907476425171e-02,5.757668241858482361e-02,1.745206348478786751e+01
7.700000000000000000e+01,9.953431606292724609e+00,6.918551027774810791e-02,5.754728615283966064e-02,1.744863175355537166e+01
7.800000000000000000e+01,1.010114812850952148e+01,6.918355077505111694e-02,5.754520744085311890e-02,1.744720280774532739e+01
7.900000000000000000e+01,1.023155021667480469e+01,6.917145848274230957e-02,5.753629654645919800e-02,1.744585778948714960e+01
8.000000000000000000e+01,1.037776994705200195e+01,6.917262822389602661e-02,5.754826962947845459e-02,1.744445760573103144e+01
8.100000000000000000e+01,1.051351237297058105e+01,6.917946785688400269e-02,5.756082013249397278e-02,1.744285069485781037e+01
8.200000000000000000e+01,1.064940905570983887e+01,6.916388124227523804e-02,5.754016712307929993e-02,1.744102803378286382e+01
8.300000000000000000e+01,1.077612161636352539e+01,6.918076425790786743e-02,5.755243450403213501e-02,1.743894748561474017e+01
8.400000000000000000e+01,1.090292644500732422e+01,6.914495676755905151e-02,5.752271413803100586e-02,1.743663618744468380e+01
8.500000000000000000e+01,1.103932213783264160e+01,6.912491470575332642e-02,5.751512944698333740e-02,1.743413808542919696e+01
8.600000000000000000e+01,1.116699695587158203e+01,6.911288201808929443e-02,5.751600861549377441e-02,1.743151991442103466e+01
8.700000000000000000e+01,1.129916167259216309e+01,6.910368055105209351e-02,5.750628188252449036e-02,1.742849419504864983e+01
8.800000000000000000e+01,1.143337559700012207e+01,6.917119026184082031e-02,5.754121765494346619e-02,1.742237406756147777e+01
8.900000000000000000e+01,1.155911040306091309e+01,6.913334876298904419e-02,5.754384398460388184e-02,1.741364034012060813e+01
9.000000000000000000e+01,1.171116185188293457e+01,6.890329718589782715e-02,5.731896683573722839e-02,1.738845769917201523e+01
9.100000000000000000e+01,1.184795522689819336e+01,6.872035562992095947e-02,5.733637884259223938e-02,1.732506260284770505e+01
9.200000000000000000e+01,1.198403477668762207e+01,6.767055392265319824e-02,5.711799114942550659e-02,1.723462855419113993e+01
9.300000000000000000e+01,1.212003636360168457e+01,6.689146906137466431e-02,5.700385570526123047e-02,1.717685200943517998e+01
9.400000000000000000e+01,1.226809668540954590e+01,6.615675985813140869e-02,5.698589235544204712e-02,1.695495000660007534e+01
9.500000000000000000e+01,1.241989731788635254e+01,6.564127653837203979e-02,5.679170787334442139e-02,1.683410225035165553e+01
